gene	wt	wt_1	wt_2	ko	ko_1	ko_2
0610005C13Rik	9	2	37	3	6	7
0610007P14Rik	3718	2747	15728	2639	3853	3065
0610009B22Rik	503	366	1871	306	432	345
0610009L18Rik	39	17	146	18	38	32
0610009O20Rik	2171	1568	9954	1476	2111	1750
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	1375	1128	5732	967	1051	1094
0610010K14Rik	3562	2640	15765	2568	3610	2903
0610011F06Rik	1346	931	5387	776	1181	951
0610012G03Rik	2078	1367	8355	1305	1695	1530
0610030E20Rik	3202	2393	15199	2154	3199	2516
0610031O16Rik	0	0	0	3	0	1
0610037L13Rik	1733	1227	7011	1096	1674	1413
0610038B21Rik	8	5	37	4	7	5
0610039H22Rik	25	13	115	16	25	22
0610039K10Rik	9	14	54	9	8	6
0610040B10Rik	19	13	100	11	13	18
0610040F04Rik	0	2	13	1	0	5
0610040J01Rik	0	0	0	0	0	0
0610043K17Rik	7	0	9	2	3	2
1010001N08Rik	0	0	0	0	0	0
1110001J03Rik	682	500	2970	474	678	585
1110002L01Rik	278	200	1201	197	243	245
1110004E09Rik	3513	2527	13978	2167	2928	2379
1110004F10Rik	7509	5138	29923	4819	6476	5439
1110006O24Rik	56	47	210	44	37	34
1110007C09Rik	533	360	2222	365	533	508
1110008F13Rik	3860	2681	14850	2308	3060	2906
1110008L16Rik	1499	1111	6178	1011	1288	1090
1110008P14Rik	1015	712	4181	623	1007	766
1110012L19Rik	511	311	2084	318	511	416
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	0	1	0	0	2
1110019D14Rik	26	16	130	24	21	23
1110020A21Rik	7	3	51	5	14	6
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	1	1	7	0	4	2
1110028F18Rik	0	0	0	0	0	0
1110032A03Rik	97	48	356	46	111	62
1110032F04Rik	4472	3599	21619	2981	4460	3707
1110034G24Rik	357	207	1408	179	404	302
1110036E04Rik	0	0	3	0	3	0
1110037F02Rik	8089	5787	33337	5496	6651	6020
1110038B12Rik	4395	2983	16828	2662	3566	3117
1110038F14Rik	2120	1564	8834	1398	2057	1754
1110046J04Rik	0	0	2	0	1	2
1110051M20Rik	453	316	1795	292	380	311
1110058D11Rik	1	0	0	0	0	0
1110059E24Rik	1676	1128	5816	1041	1332	1336
1110059G10Rik	798	613	3340	570	813	674
1110065P20Rik	836	546	3566	555	657	610
1190002F15Rik	115	104	641	66	116	90
1190002N15Rik	1658	1190	6722	1014	1441	1394
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	10	10	85	7	5	6
1190007I07Rik	1046	794	4505	708	918	750
1200014J11Rik	4537	3141	19344	2961	3847	3489
1300002E11Rik	579	376	2432	442	693	500
1300017J02Rik	4	4	12	3	4	1
1500004A13Rik	292	202	1387	190	296	234
1500009C09Rik	0	0	3	0	0	0
1500009L16Rik	5	10	31	6	9	5
1500011B03Rik	902	628	3674	578	842	581
1500011K16Rik	1059	813	4244	711	1023	841
1500012F01Rik	6553	4544	24627	4099	5591	4563
1500012K07Rik	0	0	0	0	0	0
1500015A07Rik	270	154	1036	200	291	213
1500015L24Rik	0	0	0	0	0	0
1500015O10Rik	10	2	35	3	5	7
1500017E21Rik	3	0	2	3	0	1
1500026H17Rik	1	4	6	1	4	5
1600002D24Rik	0	0	0	0	0	0
1600002H07Rik	1161	854	4861	820	948	854
1600002K03Rik	843	527	2773	539	678	580
1600010M07Rik	0	0	0	0	0	0
1600012H06Rik	667	487	2931	515	861	605
1600014C10Rik	1120	853	5068	743	1357	995
1600014C23Rik	0	0	4	0	0	0
1600014K23Rik	0	0	1	0	0	0
1600015I10Rik	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	286	181	1156	157	239	196
1600023N17Rik	13	3	24	5	11	3
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0
1600029I14Rik	0	1	3	0	1	0
1600029O15Rik	2	1	11	0	0	0
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	0	0
1700001D01Rik	0	0	2	1	1	0
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	20	17	104	18	26	22
1700001G17Rik	32	24	153	18	36	18
1700001J03Rik	5	9	50	8	15	10
1700001J11Rik	0	1	1	0	1	1
1700001K19Rik	11	5	30	6	12	11
1700001K23Rik	2	1	5	0	5	0
1700001L05Rik	617	423	2028	448	543	394
1700001L19Rik	0	0	0	0	0	0
1700001O22Rik	162	106	576	79	106	114
1700001P01Rik	5	5	38	11	3	3
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	1	0	6	6	0	2
1700003E16Rik	0	1	3	3	1	0
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	10	6	68	5	5	12
1700003G13Rik	0	0	0	0	0	0
1700003G18Rik	0	0	4	5	1	0
1700003H04Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0
1700003M02Rik	0	0	1	0	0	0
1700003M07Rik	3	1	14	2	1	0
1700003P14Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0
1700007G11Rik	0	0	4	1	0	0
1700007J10Rik	15	4	60	9	10	10
1700007K09Rik	6	1	12	4	3	1
1700007K13Rik	15	9	25	10	6	6
1700007L15Rik	178	114	634	103	147	105
1700007P06Rik	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0
1700008J07Rik	129	129	636	100	142	124
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	16	7	28	5	9	9
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	1	0	0	1	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700010B08Rik	1	0	0	0	0	1
1700010D01Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	164	117	679	145	145	133
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0
1700011B04Rik	0	1	1	0	0	0
1700011C11Rik	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0
1700011H14Rik	2	1	10	1	3	0
1700011I03Rik	0	0	0	0	0	0
1700011L22Rik	0	0	2	0	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	1	3	15	1	5	1
1700012B09Rik	0	0	0	0	0	0
1700012C14Rik	0	0	1	0	2	0
1700012D01Rik	105	83	516	83	94	81
1700012D14Rik	28	10	99	25	27	19
1700012D16Rik	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0
1700012I11Rik	1	0	0	0	0	0
1700012L04Rik	1	2	4	0	4	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0
1700016C15Rik	1	1	9	0	5	2
1700016D06Rik	0	0	3	0	1	0
1700016G22Rik	0	0	1	0	1	0
1700016H13Rik	3	1	8	1	1	0
1700016K19Rik	28	26	101	21	25	12
1700016L04Rik	1	1	0	0	0	0
1700016L21Rik	0	0	2	0	0	0
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	6186	4368	26636	3989	4882	4616
1700017D01Rik	0	0	1	0	0	0
1700017G19Rik	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0
1700018B08Rik	0	0	7	2	0	0
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	3	0	7	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0
1700018L02Rik	6	2	19	1	7	6
1700019A02Rik	5	5	23	3	9	2
1700019B03Rik	3	0	1	0	2	1
1700019B21Rik	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0
1700019D03Rik	57	39	243	24	91	28
1700019E08Rik	0	0	0	0	0	0
1700019G17Rik	365	222	1516	242	367	223
1700019G24Rik	0	0	0	0	0	0
1700019L03Rik	60	46	288	46	71	65
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	1	5	8	1	4	2
1700020D05Rik	14	14	54	5	25	13
1700020D14Rik	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0
1700020I14Rik	1883	1378	8579	1217	1593	1507
1700020L24Rik	10	11	87	21	10	12
1700020M21Rik	0	0	0	0	1	0
1700020N01Rik	0	0	1	0	0	0
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	3	7	0	5	3
1700021F05Rik	861	631	3666	589	820	684
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	1950	1445	8110	1294	1544	1553
1700021N21Rik	0	0	4	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022H01Rik	7	3	16	3	8	2
1700022H16Rik	0	0	0	0	0	0
1700022I11Rik	0	0	12	1	2	2
1700023C21Rik	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	4	0	31	2	3	6
1700024B18Rik	0	0	0	0	0	0
1700024F13Rik	9	5	30	10	10	4
1700024G13Rik	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0
1700025G04Rik	1063	722	4302	701	1036	901
1700025J12Rik	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	3	1	0	0
1700025N23Rik	0	0	0	0	1	0
1700026D08Rik	0	0	0	0	0	0
1700026D11Rik	0	0	1	0	1	0
1700026F02Rik	0	0	0	0	0	0
1700026J14Rik	1	1	2	0	0	0
1700026L06Rik	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	0	1	5	0	0	0
1700027J07Rik	0	1	1	1	0	1
1700028B04Rik	0	0	1	0	1	1
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	36	36	156	31	39	52
1700028I16Rik	1	1	4	0	0	0
1700028J19Rik	37	32	167	32	31	40
1700028K03Rik	61	40	365	66	78	40
1700028M03Rik	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0
1700029H14Rik	1	2	1	0	1	0
1700029I15Rik	12	20	85	7	29	13
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	67	43	241	37	69	49
1700029M20Rik	0	0	0	0	0	0
1700029N11Rik	0	0	2	0	0	1
1700029P11Rik	0	0	0	0	0	0
1700030A11Rik	0	1	3	0	3	0
1700030C10Rik	63	58	438	45	123	74
1700030F04Rik	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0
1700030J22Rik	67	46	304	35	71	43
1700030K09Rik	744	522	2929	455	618	518
1700030L20Rik	0	0	0	0	0	0
1700030M09Rik	1	0	3	3	1	0
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	47	40	237	42	39	36
1700034I23Rik	0	1	2	1	0	2
1700034J05Rik	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	0	0	1	0	0	0
1700034P13Rik	0	2	13	0	3	2
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	247	163	922	128	200	206
1700037H04Rik	2724	1771	10744	1634	2225	1969
1700039E15Rik	0	0	3	0	0	0
1700039E22Rik	0	0	0	0	0	0
1700040L02Rik	23	11	86	13	25	16
1700041A01Rik	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	7	2	52	3	4	2
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	0	1	2	0	0	0
1700047E10Rik	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0
1700048M11Rik	16	9	51	8	9	10
1700048O20Rik	114	88	534	78	190	196
1700049E15Rik	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	126	84	555	75	133	77
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	223	141	1018	147	221	182
1700054A03Rik	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700056E22Rik	42	26	203	27	53	23
1700057G04Rik	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0
1700057H21Rik	1	0	5	1	1	0
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0
1700061F12Rik	0	1	8	1	1	3
1700061G19Rik	37	35	201	29	48	38
1700061I17Rik	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	2	1	5	6	12	7
1700063O14Rik	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	4	3	11	4	3	1
1700065D16Rik	25	13	70	11	7	11
1700065I16Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
1700066B19Rik	358	280	1596	223	282	261
1700066J03Rik	0	0	0	0	0	0
1700066M21Rik	509	356	2230	335	417	357
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	109	67	387	66	68	57
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700071M16Rik	0	0	1	0	2	1
1700072B07Rik	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	2
1700074H08Rik	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700084C01Rik	0	0	0	1	0	0
1700084D21Rik	0	0	0	0	0	0
1700084E18Rik	19	21	100	18	17	19
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	0	0	2	0	0	0
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0
1700086O06Rik	153	90	664	112	119	109
1700088E04Rik	0	0	2	0	1	0
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	72	39	296	37	55	42
1700093K21Rik	3	0	5	0	2	1
1700094D03Rik	300	218	1345	198	355	261
